transform                               \uf6ac
transition-bottom                       \ufdd0
transition-left                         \ufdcf
transition-right                        \ufdce
transition-top                          \ufdcd
trash                                   \uf783
trash-x                                 \uf784
triangle                                \uf6ad
triangle-inverted                       \uf6ae
triangle-square-circle                  \ufb42
trolley                                 \u100f4
trophy                                  \uf6af
truck                                   \u100f3
ufo                                     \u10165
umbrella                                \uf6b0
user                                    \ufd19
versions                                \uf6b1
video                                   \u1009b
video-minus                             \u1018e
video-plus                              \u1018d
windmill                                \uf6b2
windsock                                \u1009a
woman                                   \ufdcc
world                                   \u101c7
writing                                 \u1018b
writing-sign                            \u1018c
x                                       \u101c6
xbox-a                                  \ufdcb
xbox-b                                  \ufdca
xbox-x                                  \ufdc9
